fxosaccx,fxosaccy,fxosaccz,lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,a3,a4,a5,f1,f2,timestamp
372,524,16988,0,0,0,0,0,0,24534,19885,20946,22196,26082,21823,38,0,1540
-620,-504,17524,0,0,0,0,0,0,17473,12490,15079,13559,17147,16222,38,0,1550
1076,-420,17408,0,0,0,0,0,0,11237,13002,11510,9443,19935,19129,39,1,1560
-1488,208,19108,0,0,0,0,0,0,10058,9497,14103,16922,21057,21965,40,0,1570
952,-1176,15160,0,0,0,0,0,0,19182,15494,20844,16468,25853,28471,40,1,1580
1020,964,17028,0,0,0,0,0,0,13272,7404,21246,17993,24703,25902,39,0,1590
-272,-808,20508,0,0,0,0,0,0,9278,9326,23882,19022,19768,26621,39,0,1600
404,208,16100,0,0,0,0,0,0,13101,9120,21225,15527,21841,26112,40,1,1610
-1584,-72,18820,0,0,0,0,0,0,9052,10340,19085,12314,27814,27913,41,0,1620
1504,-1136,15004,0,0,0,0,0,0,15311,11358,19147,18237,27762,21111,41,1,1630
40,640,16868,0,0,0,0,0,0,14749,16827,19184,18018,23791,17226,40,0,1640
1024,-1516,17756,0,0,0,0,0,0,13190,14942,22198,16533,22772,24154,40,0,1650
-528,988,15784,0,0,0,0,0,0,15480,12324,15121,17897,25716,22822,41,1,1660
-960,-52,19484,0,0,0,0,0,0,12134,7285,21733,22766,26733,24759,41,0,1670
1952,-508,17536,0,0,0,0,0,0,11164,13359,23131,18941,26839,25845,41,1,1680
-1200,260,16056,0,0,0,0,0,0,11140,21280,25866,19127,21446,21067,41,0,1690
1952,-1852,15804,0,0,0,0,0,0,21599,21889,24130,21086,22759,23985,40,1,1700
-256,904,16792,0,0,0,0,0,0,21682,19222,17069,17300,19260,17306,40,0,1710
-316,-1064,17720,0,0,0,0,0,0,9088,10964,12497,17256,23966,22814,40,0,1720
1520,1380,18704,0,0,0,0,0,0,13843,9248,15515,14247,20144,24089,41,1,1730
-2060,1192,17436,0,0,0,0,0,0,16132,16066,17261,16510,23205,17190,41,0,1740
1552,-1776,16640,0,0,0,0,0,0,15003,16296,23883,20090,23129,17167,40,1,1750
40,812,15220,0,0,0,0,0,0,14192,19297,21896,18995,20063,19294,41,0,1760
-780,548,20052,0,0,0,0,0,0,11265,19639,17194,16903,23964,20105,40,1,1770
1644,-1264,17340,0,0,0,0,0,0,18966,18921,19152,20876,23955,19117,41,0,1780
-1080,-104,15600,0,0,0,0,0,0,21573,20229,21298,17492,24886,18315,40,0,1790
1592,-1904,15648,0,0,0,0,0,0,19378,15045,22791,21978,24059,23920,40,1,1800
-136,692,16468,0,0,0,0,0,0,12224,11209,24010,22014,26050,26833,40,0,1810
40,-716,17500,0,0,0,0,0,0,11334,14180,17240,21764,23308,24615,41,1,1820
1156,768,19256,0,0,0,0,0,0,23815,18163,21152,25631,26807,21278,40,0,1830
-2048,1104,16980,0,0,0,0,0,0,12943,15344,21266,20189,22002,20102,40,0,1840
1920,-1832,15796,0,0,0,0,0,0,10978,17260,22983,17099,22745,19282,40,1,1850
-216,760,16292,0,0,0,0,0,0,15177,19681,21824,14335,23020,20034,40,0,1860
232,-1416,16404,0,0,0,0,0,0,21206,18032,20937,22047,26066,19933,41,1,1870
784,1928,17708,0,0,0,0,0,0,17071,18988,21014,20031,23293,22830,40,0,1880
-1992,1744,18884,0,0,0,0,0,0,21230,15170,15059,20029,21036,21264,41,0,1890
1180,-1484,17400,0,0,0,0,0,0,17977,19258,19224,26874,23023,15497,40,1,1900
-668,16,16500,0,0,0,0,0,0,23041,19908,19067,25860,24089,15419,40,0,1910
1528,-1472,14724,0,0,0,0,0,0,19618,20923,22935,26717,25822,13453,39,1,1920
560,1696,18300,0,0,0,0,0,0,14942,12334,19138,17498,19477,13250,39,0,1930
-1880,484,17876,0,0,0,0,0,0,13812,16151,21024,13474,16046,21825,39,0,1940
1220,-788,17576,0,0,0,0,0,0,12052,16219,16417,18883,21092,19169,40,1,1950
-1156,264,18992,0,0,0,0,0,0,16492,21962,25814,23282,19894,22171,40,0,1960
1584,-1064,13876,0,0,0,0,0,0,20358,22740,24101,17234,19267,17313,39,1,1970
516,740,17644,0,0,0,0,0,0,24937,20805,21114,18172,21210,17291,40,0,1980
-544,-424,18316,0,0,0,0,0,0,25901,23213,19103,20986,26946,21073,39,1,1990
772,-224,16524,0,0,0,0,0,0,17834,13013,15482,19126,23290,13393,39,0,2000
-1172,564,19396,0,0,0,0,0,0,13011,12821,11380,12423,24058,18927,40,0,2010
2320,-1428,14516,0,0,0,0,0,0,15874,20171,21234,21107,27895,19087,39,1,2020
